article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
veet hair rem crm brightn senstv dry 50g, rem crm brightn senstv dry ,50g,veet,hair care,beauty personal care,, rem crm brightn entv dry ,"['rem', 'dry']"
dettol shav cream cool 60g, shav cream cool ,60g,dettol,personal hygiene,beauty personal care,type: cream flavor: cream, shav cool ,['cool']
unibic cookies choco ripple pp 100g, choco ripple pp ,100g,unibic,biscuits cookies crackers,branded food,flavor: choco, ripple pp ,['ripple']
vijaya sunflower oil pp 1l, sunflower pp ,1l,vijaya,edible oil ghee,grocery,flavor: sunflower, pp ,[]
vijaya groundnut oil pp 1l, groundnut pp ,1l,vijaya,organic edible oil fats,grocery,flavor: groundnut, pp ,[]
unibic cookie choco nut pp 75g, cookie choco nut pp ,75g,unibic,biscuits cookies crackers,branded food,flavor: choco, cookie nut pp ,"['cookie', 'nut']"
298 gala bathroom wiper, bathroom wiper,298 g,gala,cleaning accessories,home hygiene,, bathroom wiper,"['bathroom', 'wiper']"
lipton clear green lemon zest tea bag 10pcs, clear green lemon zest bag ,10pcs,lipton,tea coffee,beverages,flavor: lemon color: green type: bag, clear zest ,"['clear', 'zest']"
yummiez frozen veg party pack pp 600g, party pack pp ,600g,yummiez,frozen veg,branded food,, party pack pp ,"['party', 'pack']"
diet foods soya bhel 200g, soya bhel ,200g,diet foods,organic flours,grocery,flavor: bhel flavor: soya, ,[]
mortein rat killer 100g, rat killer ,100g,mortein,deos perfumes,beauty personal care,, rat killer ,"['rat', 'killer']"
vaseline intensive care advanced repair body lotion 100 ml, intensive advanced repair body lotion ,100 ml,vaseline,skin care,beauty personal care,type: lotion, intensive advanced repair body ,"['intensive', 'advanced', 'repair', 'body']"
eastern pow spice chilli pp 250g, pow spice chilli pp ,250g,eastern,masala spices,grocery,flavor: chilli, pow spice pp ,"['pow', 'spice']"
desi atta dahi vada mix 200g, dahi vada mix ,200g,desi atta company,baking dessert mixes,branded food,flavor: dahi flavor: vada, mix ,['mix']
desi atta singhara chestnut pp 200g, singhara chestnut pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,flavor: chestnut, singhara pp ,[]
ektaa soya wadi bx 200g, soya wadi bx ,200g,ektaa,chocolates cakes confectioneries,branded food,flavor: soya, wadi bx ,['wadi']
haldiram squash badam 700m, quah badam 700m,,haldiram s,chips namkeens snacks,branded food,flavor: badam, quah 700m,[]
johnsons smp act kds shiny drops bt 100m,johnsons smp kds shiny drops bt 100m,,act ii,chips namkeens snacks,branded food,color: shiny,johnsons smp kds drops bt 100m,"['johnsons', 'smp', 'kds', 'drops']"
colin glass clnr refill pp 1l, glass clnr refill pp ,1l,colin,home cleaning,home hygiene,, gla clnr refill pp ,"['gla', 'refill']"
desi atta co oats idli mix pp 200g, co oats idli mix pp ,200g,desi atta company,breakfast cereals,branded food,flavor: idli flavor: oats, co mix pp ,['mix']
brijnandan namk daal bizi pp 400g,brijnandan namk daal bizi pp ,400g,,baby care,baby care,flavor: daal,brijnandan namk bizi pp ,[]
ektaa makai poha pp 500g, makai poha pp ,500g,ektaa,chocolates cakes confectioneries,branded food,flavor: poha, makai pp ,[]
badshah pow spice chilli pp 200g, pow spice chilli pp ,200g,badshah,chips namkeens snacks,branded food,flavor: chilli, pow spice pp ,"['pow', 'spice']"
monginis cake sws roll strawberry 100g, cake sws roll strawberry ,100g,monginis,otc,beauty personal care,flavor: strawberry, cake sws roll ,"['cake', 'roll']"
haldiram bhujia masala pp 42g 48g, bhujia maala pp 48g,42g,haldiram s,chips namkeens snacks,branded food,, bhujia maala pp 48g,[]
himalaya gentle baby bath 200ml, gentle bath ,200ml,himalaya,baby care,baby care,type: bath, gentle ,['gentle']
mcvities digestive 4*100g,mcvities digestive ,4*100g,,biscuits cookies crackers,branded food,,mcvitie digetive ,['mcvitie']
pooof cream fld cake strawbery pp 40g,pooof cream fld cake strawbery pp ,40g,pooof!,chocolates cakes confectioneries,branded food,type: cream flavor: cream,pooof fld cake strawbery pp ,['cake']
britania crm bsct treat vanilla pp 150g,britania crm bsct vanilla pp ,150g,tasty treat,chocolates cakes confectioneries,branded food,flavor: vanilla,britania crm bsct pp ,[]
britannia nc heavens cranberrie&oats 60g, nc heavens cranberrie&oats ,60g,britannia,biscuits cookies crackers,branded food,, nc heaven cranberrie&oat ,['heaven']
dabur hairoil amla 90ml, hairoil amla ,90ml,dabur,otc,beauty personal care,flavor: amla, hairoil ,[]
loreal hrclr cstng crm dark brwn 400m,loreal hrclr cstng crm dark brwn 400m,,,baby care,baby care,color: dark,loreal hrclr cstng crm brwn 400m,[]
pepsodent triple clean toothbrush medium 1pc, triple clean toothbrush medium c,1p,pepsodent,oral care,beauty personal care,color: clean type: toothbrush, triple medium c,"['triple', 'medium']"
elvir dahi dessert light cranbry 125g,elvir dahi dessert light cranbry ,125g,,home cleaning,home hygiene,flavor: dahi color: light flavor: dessert,elvir cranbry ,[]
elvir dahi dessert light prune 125g,elvir dahi dessert light prune ,125g,,home cleaning,home hygiene,flavor: dahi flavor: prune color: light flavor: dessert,elvir ,[]
nature valley apple crunch, apple crunch,,nature valley,mineral water soda,beverages,flavor: apple, crunch,['crunch']
parachute advnsd men hc anti dandrf 100g, advnsd men hc anti dandrf ,100g,parachute,hair care,beauty personal care,, advnd men hc anti dandrf ,"['men', 'anti']"
english oven chocolate fudge bunfils 30g, chocolate fudge bunfils ,30g,english oven,chocolates cakes confectioneries,branded food,type: chocolate flavor: fudge flavor: chocolate, bunfils ,[]
patanjali sundry alo vr gel ksr cndn 60m, sundry alo vr gel ksr cndn 60m,,patanjali,toys,toys stationery,type: gel, sundry alo vr ksr cndn 60m,['sundry']
parle cream biscuit hide n seek bourbon 60g, cream biscuit hide n seek bourbon ,60g,parle,biscuits cookies crackers,branded food,type: cream flavor: cream, biscuit hide n seek bourbon ,"['biscuit', 'hide', 'seek', 'bourbon']"
baker street maska khari 150g, maska khari ,150g,baker street,toys,toys stationery,, maka khari ,[]
nilons parampara mango pickle 1kg,nilons parampara pickle ,1kg,three mango,pickles chutneys,branded food,flavor: pickle,nilons parampara ,[]
nilons sauce chopstic chilli bottle 680g,nilons sauce chopstic chilli bottle ,680g,,sauces puree dips,branded food,flavor: chilli flavor: sauce,nilons chopstic bottle ,['bottle']
nilons sauce orgnl soya bottle 220g,nilons sauce orgnl soya bottle ,220g,,sauces puree dips,branded food,flavor: soya flavor: sauce,nilons orgnl bottle ,['bottle']
zorabian frz chicken reshmi 250g, frz chicken reshmi ,250g,zorabian,ready to eat,branded food,flavor: chicken, frz reshmi ,[]
baker street multigrain bt rusk pp 200g, multigrain bt rusk pp ,200g,baker street,chips namkeens snacks,branded food,flavor: multigrain flavor: rusk, bt pp ,[]
patanjali soyabean oil bt 1l, soyabean bt ,1l,patanjali,edible oil ghee,grocery,flavor: soyabean, bt ,[]
parle cb h&s black bourbon 3*100g op, cb h&s black bourbon op,3*100g,parle,biscuits cookies crackers,branded food,color: black, cb h&s bourbon op,['bourbon']
ph moong dal pp 500g,ph moong dal pp ,500g,,chips namkeens snacks,branded food,flavor: moong flavor: dal,ph pp ,[]
mccain french fries smiles pp 1.25g, french fries smiles pp ,1.25g,mccain,frozen veg,branded food,flavor: fries, french smiles pp ,"['french', 'smiles']"
vita fc milk 500 ml, fc milk ,500 ml,vita,chocolates cakes confectioneries,branded food,flavor: milk, fc ,[]
vita std milk 500 ml, std milk ,500 ml,vita,chocolates cakes confectioneries,branded food,flavor: milk, std ,['std']
bhpc deo body fragrance 1 women cn 150ml,bhpc deo fragrance 1 women cn ,150ml,body line,deos perfumes,beauty personal care,type: fragrance,bhpc deo 1 women cn ,"['deo', 'women']"
bblunt hr cl sal sec natural black 1, hr cl sal sec natural black 1,,bblunt,deos perfumes,beauty personal care,color: black, hr cl sal sec natural 1,"['sal', 'sec', 'natural']"
maggi inst pasta pazta macron cheese 70g, inst pasta pazta macron cheese ,70g,maggi,noodles pastas vermicelli,branded food,flavor: cheese flavor: pasta, inst pazta macron ,['inst']
fresco eggs brown 10 pack, s brown ack,10 p,fresco egg,sauces puree dips,branded food,color: brown, s ack,['ack']
lakme facewash bag lemon gel tb 100g, facewash bag lemon gel tb ,100g,lakme,skin care,beauty personal care,flavor: lemon type: bag type: gel, facewash tb ,[]
wingreens sauce bhut sriracha tb 100g, sauce bhut sriracha tb ,100g,wingreens,sauces puree dips,branded food,flavor: sriracha flavor: sauce, bhut tb ,[]
mother dairy dahi toned milk cup 200g, dahi toned milk cup ,200g,mother dairy,chocolates cakes confectioneries,branded food,flavor: dahi flavor: milk, toned cup ,"['toned', 'cup']"
cremica goldn bytes mix nuts pp 66g, goldn bytes mix nuts pp ,66g,cremica,otc,beauty personal care,, goldn byte mix nut pp ,"['byte', 'mix', 'nut']"
j&j baby talc pow 50g,j&j talc pow ,50g,baby,baby care,baby care,type: talc,j&j pow ,['pow']
j&j baby soap 3*100g,j&j soap ,3*100g,baby,baby care,baby care,type: soap,j&j ,[]
ariel det powder complete pp 1kg, det powder complete pp ,1kg,ariel,laundry,home hygiene,, det powder complete pp ,"['det', 'powder', 'complete']"
desi atta co upwas parantha atta pp 200g, co upwas parantha pp ,200g,desi atta company,baby care,baby care,flavor: parantha, co upwas pp ,[]
dove conditioner daily shine 80ml, conditioner daily shine ,80ml,dove,hair care,beauty personal care,type: conditioner, daily shine ,"['daily', 'shine']"
ektaa ujjaini poha pp 1kg, ujjaini poha pp ,1kg,ektaa,chocolates cakes confectioneries,branded food,flavor: poha, ujjaini pp ,[]
skore condom banana dot&clr bx 10p, condom banana dot&clr bx ,10p,skore,otc,beauty personal care,flavor: banana, condom dot&clr bx ,['condom']
sour punk stick strawberry candy 40g,sour punk strawberry candy ,40g,fevi stick,stationery,toys stationery,flavor: strawberry flavor: candy,sour punk ,"['sour', 'punk']"
kinder joy chocolate for boys 20g, chocolate for boys ,20g,kinder joy,chocolates cakes confectioneries,branded food,type: chocolate flavor: chocolate, for boys ,['boys']
tide det pow natural lemon&chandan 125g, det pow natural lemon&chandan ,125g,tide,stationery,toys stationery,, det pow natural lemon&chandan ,"['det', 'pow', 'natural']"
tilda khush day to day bsmti rice pp 5kg, khush day to day bsmti rice pp ,5kg,tilda,frozen veg,branded food,flavor: rice, khush day to day bsmti pp ,"['day', 'day']"
kissan squash lemon 750m, squash lemon 750m,,kissan,jams spreads honey,branded food,flavor: squash flavor: lemon, 750m,[]
himalaya oth bby care powder 100g, oth bby powder ,100g,himalaya,baby care,baby care,, oth bby powder ,"['oth', 'powder']"
himalaya shampoo gentle daily care 200m, shampoo gentle daily 200m,,himalaya,baby care,baby care,type: shampoo, gentle daily 200m,"['gentle', 'daily']"
mcvities festivities assorted bx 700g gp,mcvities festivities assorted bx p,700g g,,biscuits cookies crackers,branded food,,mcvitie fetivitie aorted bx p,['mcvitie']
ramdev pow spice turmeric 100g, pow spice turmeric ,100g,ramdev,skin care,beauty personal care,flavor: turmeric, pow spice ,"['pow', 'spice']"
himalaya fw tan rmoval orange 100ml, fw tan rmoval orange ,100ml,himalaya,otc,beauty personal care,flavor: orange color: orange color: tan, fw rmoval ,[]
himalaya gentle exfol walnut scrub 100g, gentle exfol walnut scrub ,100g,himalaya,baby care,baby care,flavor: walnut, gentle exfol scrub ,"['gentle', 'scrub']"
dhampure jaggery 220g, jaggery ,220g,dhampure,baking dessert mixes,branded food,flavor: jaggery, ,[]
himalaya peach shine lip care 4.5 gm, peach shine lip m,4.5 g,himalaya,skin care,beauty personal care,flavor: peach, shine lip m,"['shine', 'lip']"
lakme absolute perfect radiance skin lightening night creme 50 g, absolute perfect radiance lihtenin niht creme ,50 g,lakme,skin care,beauty personal care,, abolute perfect radiance lihtenin niht creme ,"['perfect', 'radiance', 'niht', 'creme']"
"lakme 9 to 5 primer + matte lip color, lc r3 caramel cut, 3.6 g"," 9 to rimer + matte li color, lc r3 caramel cut, 3.6 g",5 p,lakme,skin care,beauty personal care,color: matte flavor: caramel," 9 to rimer + li color, lc r3 cut, 3.6 g",['3.6']
mdh readymix meat 100g, readymix meat ,100g,mdh,masala spices,grocery,flavor: meat, readymix ,[]
mdh readymix chat 100g, readymix chat ,100g,mdh,masala spices,grocery,, readymix chat ,['chat']
happydent wave fliptop 18g, wave fliptop ,18g,happydent,chocolates cakes confectioneries,branded food,, wave fliptop ,['wave']
happydent gum complt peppermint 27.5g, gum complt peppermint ,27.5g,happydent,chocolates cakes confectioneries,branded food,flavor: peppermint, gum complt ,['gum']
sunfeast bounce elaichi twist biscuit 100g, bounce elaichi twist biscuit ,100g,sunfeast,biscuits cookies crackers,branded food,type: elaichi flavor: elaichi, bounce twist biscuit ,"['bounce', 'twist', 'biscuit']"
sunfeast noodle yippee clas masala 70g, noodle yippee clas masala ,70g,sunfeast,noodles pastas vermicelli,branded food,, noodle yippee cla maala ,"['noodle', 'yippee', 'cla']"
set wet hair gel styling vertical 100m, gel styling vertical 100m,,set wet,hair care,beauty personal care,type: gel, styling vertical 100m,"['styling', 'vertical']"
organic india tulsi lemon ginger green tea 18pcs, tulsi lemon ginger green ,18pcs,organic india,tea coffee,beverages,flavor: ginger color: green flavor: lemon, tulsi ,[]
thins sweet chilli flavour rice wafers 100g, sweet chilli flavour rice wafers ,100g,thins,chips namkeens snacks,branded food,flavor: rice flavor: chilli, sweet flavour wafers ,"['sweet', 'flavour', 'wafers']"
rolia face tissue ultra 200 s, face tiue ultra ,200 s,rolia,skin care,beauty personal care,, face tiue ultra ,"['face', 'ultra']"
frish froz veg spring roll patti pp 200g, froz veg spring roll patti pp ,200g,frish,toys,toys stationery,flavor: veg, froz spring roll patti pp ,"['spring', 'roll', 'patti']"
clmt air freshener lavender hang bx 50g, air freshener lavender hang bx ,50g,clmt,freshners repellents,home hygiene,color: lavender type: freshener flavor: lavender, air hang bx ,"['air', 'hang']"
clmt napthalene balls 100g, napthalene balls ,100g,clmt,chocolates cakes confectioneries,branded food,, napthalene ball ,['ball']
clmt utensil bar 200g, utensil bar ,200g,clmt,chocolates cakes confectioneries,branded food,, utenil bar ,['bar']
clmt scrubber grooved sponge 3pcs, scrubber grooved sponge ,3pcs,clmt,cleaning accessories,home hygiene,type: sponge, scrubber grooved ,"['scrubber', 'grooved']"
clmt scrb heavy duty green, scrb heavy duty green,,clmt,tea coffee,beverages,color: green, scrb heavy duty ,"['heavy', 'duty']"
clmt utensil srb 3 in 1 7.5*10cm, utensil srb 3 in 1 7.5*10cm,,clmt,toys,toys stationery,, utenil rb 3 in 1 7.5*10cm,[]
vandevi pow spice hing brown bt 50g, pow spice hing brown bt ,50g,vandevi,chips namkeens snacks,branded food,color: brown, pow spice hing bt ,"['pow', 'spice']"
cipla act kd immuno boosters 4-6y cn 30p, act kd immuno boosters 4-6y cn ,30p,cipla,chips namkeens snacks,branded food,, act kd immuno booter 4-6y cn ,['act']
wipro det liquid safewash 2*500ml, det liquid ,2*500ml,wipro safewash,otc,beauty personal care,, det liquid ,"['det', 'liquid']"
chings ndl secret schezwan 60g, ndl ecret chezwan ,60g,ching s secret,noodles pastas vermicelli,branded food,, ndl ecret chezwan ,[]
cadbury dairy milk play pack 104g, dairy milk play pack ,104g,cadbury,chocolates cakes confectioneries,branded food,flavor: dairy flavor: milk, play pack ,"['play', 'pack']"
borges farfalle wheat pasta 500g, farfalle wheat pasta ,500g,borges,noodles pastas vermicelli,branded food,flavor: farfalle flavor: pasta flavor: wheat, ,[]
cavendish coffe drop candy 175g, coffe drop candy ,175g,cavendish & harvey,chocolates cakes confectioneries,branded food,flavor: candy, coffe drop ,['drop']
tata tetley tea bag ginger 12pcs, tetley bag ginger ,12pcs,tata tea,tea coffee,beverages,flavor: ginger type: bag, tetley ,['tetley']
paper boat thandai 200ml, thandai ,200ml,paper boat,fruit juices drinks,beverages,, thandai ,[]
pillsbury mini cookie cake choco bx 66g, mini cookie cake choco bx ,66g,pillsbury,chocolates cakes confectioneries,branded food,flavor: choco, mini cookie cake bx ,"['mini', 'cookie', 'cake']"
pillsbury cakemix rich chocolt bx 285g, cakemix rich chocolt bx ,285g,pillsbury,baking dessert mixes,branded food,, cakemix rich chocolt bx ,['rich']
pillsbury brownie choco chip pp 80g, brownie choco chip pp ,80g,pillsbury,chocolates cakes confectioneries,branded food,flavor: choco, brownie chip pp ,"['brownie', 'chip']"
