cleaned,quantity,final_brand,class1,class2
 sprinkler jr ,100g,tata,salt sugar jaggery,grocery
 custard bunfills ,30g,english oven,baking dessert mixes,branded food
 body ltn adv soft touch ,100ml,parachute,skin care,beauty personal care
sb microfiber multipurpose wipe,,,cleaning accessories,home hygiene
dawat basmati rice rozana pp ,5kg,ruchi gold,organic grains,grocery
 & hsome fw oil cleare tb ,100g,emami fair and handsome,skin care,beauty personal care
 aorted namkeen ,505g,haldiram s,chips namkeens snacks,branded food
 tibar basmati rice ,5kg,daawat,organic grains,grocery
 plain bhujia namkeen ,200g,haldiram s,chips namkeens snacks,branded food
 amoa namkeen ,200g,haldiram s,chips namkeens snacks,branded food
kelloggs cornflake multigrain & honey ,435g,,breakfast cereals,branded food
kellogs muesli extra nuts delight pp ,40g,,breakfast cereals,branded food
 rice idli mix pp ,200g,desi atta company,breakfast cereals,branded food
 aloevera juice juice ,300 ml,kiwi,fruit juices drinks,beverages
 weet bean ladoo bx ,400g,haldiram s,chips namkeens snacks,branded food
 weet meetha chpta p,580g g,haldiram s,chips namkeens snacks,branded food
 deo mist cn ,150ml,yardley london,deos perfumes,beauty personal care
 latelier dark rsn almd hzlnt ,100g,nestle,chocolates cakes confectioneries,branded food
 men cleansing gel_deep ,100ml,nivea,deos perfumes,beauty personal care
 readymix sambar bx ,100g,everest,masala spices,grocery
 powryl garam bx ,100g,everest,masala spices,grocery
 agarbathi bouquet ,90p,mangaldeep,home cleaning,home hygiene
 icecm kesar almond sf ,500ml,mother dairy,chocolates cakes confectioneries,branded food
meatza chk salami sliced masala m,250g,,ready to fry,branded food
ever yuth face wash orange peel off ,90g,,skin care,beauty personal care
 dahi yoghurt blueberry cup ,80g,danone,mineral water soda,beverages
d praines n cream 125m,,l oreal paris,chocolates cakes confectioneries,branded food
 basa fish fillet chunk ,250g,cambay tiger,chocolates cakes confectioneries,branded food
 oil superfry bt ,1l,wagga wagga,skin care,beauty personal care
 m besan pp 500g,24 l,,stationery,toys stationery
 m urad da chika pp 500g,24 l,,chocolates cakes confectioneries,branded food
 tweezer printed pb15331,,ts,stationery,toys stationery
 pressry juice light bt 250m,,raw pressery,fruit juices drinks,beverages
 icecm shahi mevamalai ,115ml,mother dairy,chips namkeens snacks,branded food
 pow spice amchur bx ,100g,everest,masala spices,grocery
 twin creme choco vanila pp ,90g,cremica,skin care,beauty personal care
ttrt instant ndl lemon pp ,65g,,noodles pastas vermicelli,branded food
ttrt bhujia schezwan ,30g,namkeen tree,chips namkeens snacks,branded food
ttrt sweets dry frt ladoo bx ,800g,,toys,toys stationery
 sauce green chilli bt ,190g,tasty treat,sauces puree dips,branded food
 cheese potato crisps ,110g,jacker,chips namkeens snacks,branded food
 egg ffs white mega ,30p,eggspert,mineral water soda,beverages
on eaoning italian grinder bt 35g,1y s,,masala spices,grocery
on t black grinder 100g,1y sal,,skin care,beauty personal care
ttrt cookies assorted op,4*75g,,chocolates cakes confectioneries,branded food
 papad udad sp ,200g,lijjat,ready to fry,branded food
vrka pio botls pista,,,chocolates cakes confectioneries,branded food
 cow milk ,500ml,verka,chocolates cakes confectioneries,branded food
 cheese almette original cup ,150g,go,jams spreads honey,branded food
 ndl pepper crab flavour pp ,85g,koka,noodles pastas vermicelli,branded food
 deo whitening sensitive cn ,150ml,nivea,deos perfumes,beauty personal care
 deo protect& cn ,150ml,nivea,deos perfumes,beauty personal care
 hc nupur conut hn crm ntrl black,,godrej,freshners repellents,home hygiene
 baking powder ,50g,blue bird,masala spices,grocery
 kesar pista instant china grass mix ,100g,blue bird,baking dessert mixes,branded food
 body deodorizer sprint men ,120ml,nivea,deos perfumes,beauty personal care
 vermicelli ,200g,blue bird,baking dessert mixes,branded food
 infant nan pro 4 bx ,400g,nestle,baby food,baby care
 black til eame pp ,100g,sangi s kitchen,stationery,toys stationery
sk blk ppr + chl flks+elc dn op,140g,red bull,otc,beauty personal care
 clt eclair caramel pp 340g,320g,nestle,baby food,baby care
 cinnamon whole pp ,50g,sangi s kitchen,stationery,toys stationery
 bread crumb,,sofresh,mineral water soda,beverages
 pure olive bt ,100ml,figaro,edible oil ghee,grocery
 oth snack tomato discs ,25g,peppy,sauces puree dips,branded food
 dish wash bar active ,3*300g,nip,home cleaning,home hygiene
 readymix puri alu ,100g,roopak s,otc,beauty personal care
 readymix bharwan tava ml ,100g,roopak s,otc,beauty personal care
 who pice jeera ,200g,roopak s,otc,beauty personal care
 rice sevai ,950g,concord,noodles pastas vermicelli,branded food
 dipers small ,22p,pampers,baby care,baby care
 san pad ultra softer xl ,2p,whisper,feminine care,beauty personal care
fun speard sandwich classic ,275g,hr foods,baby food,baby care
 pow spice chilli pp ,100g,aachi,masala spices,grocery
 readymix mutton pp ,100g,aachi,masala spices,grocery
 baket pata kit creamy peto ,235g,chef s basket,otc,beauty personal care
 act ck sp grdn vegetable pp ,45g,saffola,canned tinned food,branded food
 oil nourishing ,200ml,himalaya,baby care,baby care
" vada breakfast mix, ",500g,mtr,ready to eat,branded food
 snk nacho cheese pp ,40g,doritos,chips namkeens snacks,branded food
mcvities baker box ,150g,fruit,biscuits cookies crackers,branded food
 soap bio almond oil bx ,150g,biotique,baby care,baby care
 tothbrs ult ext soft ,2+1 1p,sensodyne,oral care,beauty personal care
 mango fills ragi ,250g,soulfull,breakfast cereals,branded food
 midnight mint gum ,12.6g,dentyne,ice cream desserts,branded food
 agrb whte lotus +tulp op,180g,pratha,skin care,beauty personal care
 sun exert sf a fairness uv sunscreen lotion ml,50 p,lakme,skin care,beauty personal care
bhpc deo fragrance 9 women cn ,150ml,body line,deos perfumes,beauty personal care
 pichkoo sauce ,90g,maggi,sauces puree dips,branded food
bounty mini pouch ,150g,chocolate,chocolates cakes confectioneries,branded food
 starch liq stiffener ,200g,revive,laundry,home hygiene
 deo maverick bx ,122ml,axe signature,deos perfumes,beauty personal care
 deo dynamic pulse ,150ml,adidas,deos perfumes,beauty personal care
 men enery chare el moiturizer ,20 g,pond s,deos perfumes,beauty personal care
 luxury bath soap gulab m,150g,moti,skin care,beauty personal care
 namkeen onion nibbles ,90g,mtr,ready to eat,branded food
 pickle mixed ,500g,mtr,pickles chutneys,branded food
 barcake medeira with egg,,garys,toys,toys stationery
 pow spice roasted jeera ,100g,goldiee,chips namkeens snacks,branded food
 des basundi rabdi sweet mix poly pack ,100g,mtr,ready to eat,branded food
 namkeen spicy avalakki mixture ,180g,mtr,chips namkeens snacks,branded food
 sauce pasta & pizza bt ,310g,veeba,sauces puree dips,branded food
mcvities ginger pp ,75g,,biscuits cookies crackers,branded food
 arlic loaf m,230 g,g bakers,oral care,beauty personal care
 milk cake rusk fruit m,250 g,g bakers,chocolates cakes confectioneries,branded food
 soup balls m,100 g,g bakers,oral care,beauty personal care
 dip tartare bt ,300g,veeba,jams spreads honey,branded food
 shampoo dryness defense 200m,,himalaya,hair care,beauty personal care
 spray mosquito & flies 200m,,hit,freshners repellents,home hygiene
 rat killer ,25g,hit,freshners repellents,home hygiene
 tulsi gren bag ,25g,organic india,tea coffee,beverages
 microfiber duster,,gala,cleaning accessories,home hygiene
rolia toilet roll economy po6,,premium,deos perfumes,beauty personal care
head & sho shmp smooth & silky ,80ml,,hair care,beauty personal care
 apricots golden pp ,200g,rostaa,dry fruits,grocery
 agarbathi sandalum ,122g,cycle,pooja needs,home hygiene
 matte look sunscreen ltn spf ,30 60g,vlcc,skin care,beauty personal care
 hw kitchen fresh pump ,215ml,lifebuoy,personal hygiene,beauty personal care
"ocean water, crispy apple ",500ml,fruit,soft drinks,beverages
"ocean water, pink guava ",500ml,fruit,soft drinks,beverages
boiled sweet corn cheese & herbs ,,,masala spices,grocery
l- tukda basmati rice,,premium,organic grains,grocery
 fw neem op,2*150ml,vlcc,skin care,beauty personal care
 plus cond milk prot&alm ext ,80ml,clinic plus+,chocolates cakes confectioneries,branded food
huggie pant medium- girl ,30 s,premium,otc,beauty personal care
 soap aloe vera satin soft ,100g,vivel,skin care,beauty personal care
 shmp long black ,80ml,pantene,hair care,beauty personal care
 nature soap bar ,65 g,lifebuoy,skin care,beauty personal care
 shmp anti fall bt ,180ml,nyle,hair care,beauty personal care
 pow yellow hing bt ,50g,everest,masala spices,grocery
 pow super garam msl pp ,100g,everest,masala spices,grocery
 tomato ketchup squeeze pack ,1kg,cremica,sauces puree dips,branded food
 soap sandal turmeric ,150g,santoor,skin care,beauty personal care
md dahi pouch ,200g,mother dairy,chocolates cakes confectioneries,branded food
 eggs white daily bites ,30p,triveni,stationery,toys stationery
 chi seek kabab m,500g,meatzza,chocolates cakes confectioneries,branded food
 muttun seek kabab m,500g,meatzza,chocolates cakes confectioneries,branded food
 alphonso mango slices ,250g,veg affaire,chocolates cakes confectioneries,branded food
 soap creme soft ,4*125g,nivea,skin care,beauty personal care
 deodorant roll on whitening 50m,,nivea,deos perfumes,beauty personal care
 elbow macaroni pasta ,200g,blue bird,noodles pastas vermicelli,branded food
 javitri pp ,50g,sangi s kitchen,toys,toys stationery
 tej patta bayleaf pp ,25g,sangi s kitchen,toys,toys stationery
sangis ktcn chipotle mayonnaise bt ,200g,,jams spreads honey,branded food
 no added ugar mueli jar ,1kg,bagrry s,otc,beauty personal care
nestle bar one ,12g,chocolate,chocolates cakes confectioneries,branded food
 desi rf ,1l,milkfood,edible oil ghee,grocery
 battery aa 2,,duracell,toys,toys stationery
nestle alpino bittersweet ,90g,chocolate,chocolates cakes confectioneries,branded food
laser shaving foam ,200g,regular,men toiletries,beauty personal care
 gum pure freshmint,,mentos,mineral water soda,beverages
 gard oth snk salted sunflower ,30g,tong garden,frozen veg,branded food
 sauce salsa dip bt ,300g,salsalito,sauces puree dips,branded food
 papad nachani ,200g,arohi,ready to fry,branded food
 rice masala papad ,150g,easy choice,ready to fry,branded food
 urad dal special papad ,200g,maxx,ready to fry,branded food
mccains frnch fries crisp& ,420g,delicious,frozen veg,branded food
 french fries pp ,1.25kg,mccains,frozen veg,branded food
 tangy bbq wafers ,100g,thins,rice wheat other grains,grocery
ayush fairnes saffron fw ,80ml,b natural,otc,beauty personal care
 slider bag large bx ,10p,prim,toys,toys stationery
 shoe shine sponge neutral bx 1n,,prim,toys,toys stationery
 sportz fitness deo - skip ,125ml,eva,deos perfumes,beauty personal care
ttrt wafer bisc butter ,75g,3m scotch,chocolates cakes confectioneries,branded food
 mix juice ,2l,tasty treat,fruit juices drinks,beverages
 readymix pav bhaji ,100g,mdh,masala spices,grocery
 readymix rajma ,100g,mdh,masala spices,grocery
 pasta chifferi rigati ,250g,tasty treat,noodles pastas vermicelli,branded food
 aloo tikki ,360g,frozen,frozen veg,branded food
 all fix - sm ,20 ml,fevicol,stationery,toys stationery
 soya milk vanilla ,1l,sofit,chocolates cakes confectioneries,branded food
 sweet corn ,500g,safal,ready to eat,branded food
 deo drizzle women cn ,150ml,engage,deos perfumes,beauty personal care
 sunflower jr ,5l,fortune,edible oil ghee,grocery
gh daily urad dal split chilka ,1kg,,organic pulses,grocery
 bournvita drink ,500g,cadbury,health drinks,beverages
gh pow turmeric pp ,200g,old spice,freshners repellents,home hygiene
 milk vanila frappucno ,281ml,starbucks,chocolates cakes confectioneries,branded food
 kool rose milk ,200ml,amul,ice cream desserts,branded food
 masti butter milk ,1l,amul,ice cream desserts,branded food
 deo cologne xx ray bx 150ml,3 sp,engage,deos perfumes,beauty personal care
gh basmati rice bg ,5kg,everyday,organic grains,grocery
 fm kadhai doodh bt ,200ml,amul,ice cream desserts,branded food
gh who cassia split ,100g,old spice,freshners repellents,home hygiene
 deo jump men cn ,150ml,engage,deos perfumes,beauty personal care
gh who lonvla kokam ,100g,old spice,freshners repellents,home hygiene
 lemon ice ,250g,wagh bakri,tea coffee,beverages
waghbakri mili leaf jar ,250g,tata tea,tea coffee,beverages
 kool flavoured milk ,200ml,amul,ice cream desserts,branded food
 kool kesar flavoured milk ,1l,amul,ice cream desserts,branded food
 kool banana shake ,220ml,amul,frozen veg,branded food
amul milk milky milk pp ,500ml,shakti,ice cream desserts,branded food
 roll hotdog brown ,4p,sofresh,deos perfumes,beauty personal care
sofresh bk bar double ,,chocolate,chocolates cakes confectioneries,branded food
 can black sliced ,450g,olicoop,sauces puree dips,branded food
 twin hndl training cup 9oz 270m,,puretta,toys,toys stationery
 desert gulab jamun mix 1+1,180g,bambino,baking dessert mixes,branded food
 and c oil 200m,,hair & care,hair care,beauty personal care
 soap iconic iris bar bx ,75g,lux,skin care,beauty personal care
 pow spice turmeric ,100g,sakthi,masala spices,grocery
 custard butterscotch bx ,75g,weikfield,breakfast cereals,branded food
 chocolate ,20g,kinder joy,chocolates cakes confectioneries,branded food
 fish finger fry bx ,200g,ifb,ready to eat,branded food
 olive extra virgin bt ,250ml,karmiq,edible oil ghee,grocery
 readymix ambar ,100g,roopak s,toys,toys stationery
 kachi kairi candy jar ,100g,tinkle,jams spreads honey,branded food
 pet ,1.25l,sprite,fun drink mix,beverages
 cleaning kit combi tc+fc+gc,,clmt,stationery,toys stationery
 scrb cellulose sponge wipe,,clmt,cleaning accessories,home hygiene
ph kabuli chana pp ,1kg,,chips namkeens snacks,branded food
ph rajma chitra pp ,500g,,freshners repellents,home hygiene
 hw black orchid&milk bt ,250ml,palmolive,skin care,beauty personal care
 dal ,200g,easy choice,masala spices,grocery
 oth disp kitchen wipes ,5p,prim,toys,toys stationery
pocket comb floral,,comfort,laundry,home hygiene
 anti fall anti dandruff shampoo ,80 ml,clear,hair care,beauty personal care
gm moong bhajiya flour pp ,400g,food bazaar,masala spices,grocery
gm dymix aloo sabji bx ,100g,food bazaar,masala spices,grocery
 msl mix alo partha atta pp ,500g,gm foods,chocolates cakes confectioneries,branded food
 dal makhani bx ,100g,gm foods,masala spices,grocery
 spread sandwch pizza slice bt ,310g,veeba,sauces puree dips,branded food
 3 min khata meetha poha bx ,230g,mtr,ready to eat,branded food
pooof kettle tangy chipotle pp ,65g,pooof!,chips namkeens snacks,branded food
 soya milk mango ,200ml,sofit,chocolates cakes confectioneries,branded food
 masala bx ,250gg,marvel,tea coffee,beverages
gh poha makai ,500g,,chocolates cakes confectioneries,branded food
 pearmint chewing gum ,5p 13g,wrigley s,chocolates cakes confectioneries,branded food
 select sharbati atta pp ,1kg,aashirvaad,flours sooji,grocery
 salt pp ,1kg,aashirvaad,flours sooji,grocery
 coriander whole jr ,70g,organic tattva,organic spices,grocery
 diapers dry small ,10p,huggies,baby care,baby care
 champion body perfume ,122 ml,axe signature,deos perfumes,beauty personal care
 mixed fruit jam ,500g,patanjali,jams spreads honey,branded food
 ointment bt ,16g,iodex,chocolates cakes confectioneries,branded food
 sc anti wrinkle cream bx ,50g,patanjali,hair care,beauty personal care
 fc aloevera multani mitti ,60ml,patanjali,skin care,beauty personal care
