article_name,quantity,brand,function,type-flavour-colour,misc
tide det pow natural lemon&chandan 125g,125g,tide,stationery | toys stationery,,"det,pow,natural"
tilda khush day to day bsmti rice pp 5kg,5kg,tilda,frozen veg | branded food,flavor:rice,"day,day,rice"
kissan squash lemon 750m,750m,kissan,jams spreads honey | branded food,flavor:squash flavor:lemon,"squash,lemon"
himalaya oth bby care powder 100g,100g,himalaya,baby care | baby care,,"oth,powder"
himalaya shampoo gentle daily care 200m,200m,himalaya,hair care | beauty personal care,type:shampoo,"shampoo,gentle,daily"
mcvities festivities assorted bx 700g gp,700g g,mcvities,biscuits cookies crackers | branded food,,
ramdev pow spice turmeric 100g,100g,ramdev,skin care | beauty personal care,flavor:turmeric,"pow,spice,turmeric"
himalaya fw tan rmoval orange 100ml,100ml,himalaya,otc | beauty personal care,flavor:orange color:tan color:orange,"tan,orange"
himalaya gentle exfol walnut scrub 100g,100g,himalaya,baby care | baby care,flavor:walnut,"gentle,walnut,scrub"
dhampure jaggery 220g,220g,dhampure,baking dessert mixes | branded food,flavor:jaggery,
himalaya peach shine lip care 4.5 gm,4.5 gm,himalaya,skin care | beauty personal care,flavor:peach,"peach,shine,lip"
lakme absolute perfect radiance skin lightening night creme 50 g,50 g,lakme,skin care | beauty personal care,,"perfect,radiance,niht,creme"
"lakme 9 to 5 primer + matte lip color, lc r3 caramel cut, 3.6 g",5 prim,lakme,skin care | beauty personal care,flavor:caramel color:matte,"matte,lip,caramel,3.6"
mdh readymix meat 100g,100g,mdh,masala spices | grocery,flavor:meat,meat
mdh readymix chat 100g,100g,mdh,masala spices | grocery,,chat
happydent wave fliptop 18g,18g,happydent,chocolates cakes confectioneries | branded food,,wave
happydent gum complt peppermint 27.5g,27.5g,happydent,chocolates cakes confectioneries | branded food,flavor:peppermint,"gum,peppermint"
sunfeast bounce elaichi twist biscuit 100g,100g,sunfeast,biscuits cookies crackers | branded food,flavor:elaichi type:elaichi,"bounce,twist,biscuit"
sunfeast noodle yippee clas masala 70g,70g,sunfeast,noodles pastas vermicelli | branded food,,"noodle,yippee,cla"
set wet hair gel styling vertical 100m,100m,set wet,hair care | beauty personal care,type:gel,"gel,styling,vertical"
organic india tulsi lemon ginger green tea 18pcs,18pcs,organic india,tea coffee | beverages,flavor:ginger flavor:lemon color:green,"lemon,ginger,green"
thins sweet chilli flavour rice wafers 100g,100g,thins,chips namkeens snacks | branded food,flavor:rice flavor:chilli,"sweet,chilli,flavour,rice,wafers"
rolia face tissue ultra 200 s,200 s,rolia,skin care | beauty personal care,,"face,ultra"
frish froz veg spring roll patti pp 200g,200g,frish,toys | toys stationery,flavor:veg,"veg,spring,roll,patti"
clmt air freshener lavender hang bx 50g,50g,clmt,freshners repellents | home hygiene,type:freshener color:lavender flavor:lavender,"air,freshener,lavender,hang"
clmt napthalene balls 100g,100g,clmt,chocolates cakes confectioneries | branded food,,ball
clmt utensil bar 200g,200g,clmt,chocolates cakes confectioneries | branded food,,bar
clmt scrubber grooved sponge 3pcs,3pcs,clmt,cleaning accessories | home hygiene,type:sponge,"scrubber,grooved,sponge"
clmt scrb heavy duty green,,clmt,tea coffee | beverages,color:green,"heavy,duty,green"
clmt utensil srb 3 in 1 7.5*10cm,5*10cm,clmt,toys | toys stationery,,
vandevi pow spice hing brown bt 50g,50g,vandevi,chips namkeens snacks | branded food,color:brown,"pow,spice,brown"
cipla act kd immuno boosters 46y cn 30p,30p,cipla,toys | toys stationery,,act
wipro det liquid safewash 2*500ml,2*500m,wipro safewash,laundry | home hygiene,,"det,liquid"
chings ndl secret schezwan 60g,60g,chings secret,ready to eat | branded food,,
cadbury dairy milk play pack 104g,104g,cadbury,chocolates cakes confectioneries | branded food,flavor:dairy flavor:milk,"dairy,milk,play,pack"
borges farfalle wheat pasta 500g,500g,borges,noodles pastas vermicelli | branded food,flavor:farfalle flavor:wheat flavor:pasta,"wheat,pasta"
cavendish coffe drop candy 175g,175g,cavendish & harvey,chocolates cakes confectioneries | branded food,flavor:candy,"drop,candy"
tata tetley tea bag ginger 12pcs,12pcs,tata tea,tea coffee | beverages,flavor:ginger type:bag,"tetley,bag,ginger"
paper boat thandai 200ml,200ml,paper boat,fruit juices drinks | beverages,,
pillsbury mini cookie cake choco bx 66g,66g,pillsbury,chocolates cakes confectioneries | branded food,flavor:choco,"mini,cookie,cake"
pillsbury cakemix rich chocolt bx 285g,285g,pillsbury,baking dessert mixes | branded food,,rich
pillsbury brownie choco chip pp 80g,80g,pillsbury,chocolates cakes confectioneries | branded food,flavor:choco,"brownie,chip"
bikano papad assorted 3*200g op,3*200g,bikano,ready to fry | branded food,flavor:papad,assorted
cadbury choco dm silk hazelnut pp 58g,58g,cadbury,chocolates cakes confectioneries | branded food,type:silk flavor:hazelnut flavor:choco,"silk,hazelnut"
desi atta multigrain bhatura mix pp 500g,500g,desi atta company,dry fruits | grocery,flavor:bhatura flavor:multigrain,mix
dove split end rescue shampoo 80 ml,80 ml,dove,hair care | beauty personal care,type:shampoo,"split,end,rescue,shampoo"
badshah readymix chicken bx 50g,50g,badshah,ready to eat | branded food,flavor:chicken,"mix,chicken"
mother earth cumin seeds 100g,100g,mother earth,masala spices | grocery,flavor:seeds flavor:cumin,"cumin,seeds"
mother earth masoor dal 500g,500g,mother earth,chocolates cakes confectioneries | branded food,flavor:dal flavor:masoor,dal
munchys plain biscuit cream cracker 300g,300g,munchys,biscuits cookies crackers | branded food,flavor:cream type:cream,"plain,biscuit,cream,cracker"
pooof kettle cps spicy schezwan pp 30g,30g,pooof!,toys | toys stationery,flavor:spicy,"kettle,cps,spicy"
sofit soya milk mango 1l,1l,sofit,chocolates cakes confectioneries | branded food,flavor:soya flavor:milk flavor:mango,"soya,milk,mango"
marvel tea yellow bx 250gg,250gg,marvel,tea coffee | beverages,color:yellow,yellow
old spice deo whitewater man cn 150ml,150ml,old spice,deos perfumes | beauty personal care,,"deo,whitewater,man"
sofit soyamilk omp coffee mocha tp 200ml,200ml,sofit,chocolates cakes confectioneries | branded food,flavor:mocha,"coffee,mocha"
cadbury gems surprise 17.8g,17.8g,cadbury,chocolates cakes confectioneries | branded food,,gem
layerr deo power play shot 135ml,135ml,layerr shot,freshners repellents | home hygiene,,"deo,power,play"
swiss tmp bdy wsh energy rush bt 300ml,300ml,swiss tempelle,chocolates cakes confectioneries | branded food,,"tmp,energy"
lakme pft rdnce fairn day cream 50g,50g,lakme,skin care | beauty personal care,flavor:cream type:cream,"day,cream"
swiss tmp bw pr energy 2in1 shwr gl 250m,2in1 s,swiss tempelle,toys | toys stationery,,"tmp,energy"
swiss tmp bw lotus&fs oil swr gl bt 250m,250m,lotus,skin care | beauty personal care,,"tmp,oil"
nilgiris jelly bites cubes 80g,80g,nilgiris,chocolates cakes confectioneries | branded food,flavor:jelly,"jelly,bites,cubes"
hersheys strawberry syrup 623g,623g,hersheys,fun drink mix | beverages,flavor:syrup type:syrup flavor:strawberry,"strawberry,syrup"
kara face wipes seaweed & lavender 10p,10p,kara,skin care | beauty personal care,flavor:seaweed color:lavender flavor:lavender,"face,wipes,seaweed,lavender"
nescafe classic coffee 50g,50g,nescafe,tea coffee | beverages,,
harpic tlt clnr power opthk orange 500m,500m,harpic,home cleaning | home hygiene,flavor:orange color:orange,"power,orange"
kurkure chatpata mix namkeen 175g,175g,kurkure,chips namkeens snacks | branded food,flavor:namkeen,mix
tops mix fruit jam 500g,500g,fruit,jams spreads honey | branded food,,"top,mix,jam"
paseo facial box 100s 2ply born pure,100s,paseo,otc | beauty personal care,,"facial,box,born,pure"
paseo elegant luncheon napkin 50s 2ply,50s 2p,paseo,toys | toys stationery,type:napkin,"elegant,luncheon,napkin"
maggi ndl super chennai masala 73g,73g,maggi,noodles pastas vermicelli | branded food,,
mtr readymeal pongal 300g,300g,mtr,ready to eat | branded food,flavor:pongal,meal
mtr dessertmix payasam kheer 2*180g,2*180g,mtr,ready to eat | branded food,flavor:kheer flavor:payasam,
garys muffins eggless,,garys,chocolates cakes confectioneries | branded food,flavor:eggless flavor:muffins,muffins
garys barcake choco cherry eggless,,cherry,chocolates cakes confectioneries | branded food,flavor:eggless flavor:choco,
nestle alpino chocolate very milky 90g,90g,chocolate,chocolates cakes confectioneries | branded food,color:milky,"nestle,milky"
mera swad mukhwas jhilmil supari 70g,70g,mera swad,toys | toys stationery,,
everest pow kashmirilal chili bx 100g,100g,everest,masala spices | grocery,flavor:chili,"pow,chili"
mother dairy sweet lassi bt 200ml,200ml,mother dairy,pickles chutneys | branded food,flavor:lassi,sweet
patanjali fw saundrya tulsi&aloever 60ml,60ml,patanjali,otc | beauty personal care,,
park avenue hair gel soft hold 100g,100g,park avenue,hair care | beauty personal care,type:gel,"gel,soft,hold"
patanjali twisty tasty b1g1 1+1 120g op,1g,patanjali,toys | toys stationery,flavor:tasty,"twisty,tasty"
patanjali badam pak jr 500g,500g,patanjali,breakfast cereals | branded food,flavor:badam,pak
patanjali noodle atta chatpataa pp 60g,60g,patanjali,chocolates cakes confectioneries | branded food,,"noodle,atta"
parle cookies ocasion exquisites 800g gp,800g g,parle,biscuits cookies crackers | branded food,,
sunfeast stld bisc sncky chl flk 64g,64g,sunfeast,biscuits cookies crackers | branded food,,bic
mirinda soft drink orange bt 750ml,750ml,mirinda,soft drinks | beverages,flavor:orange color:orange,"drink,orange"
floor cloth,,comfort,home cleaning | home hygiene,type:cloth,"floor,cloth"
unibic cokies muesli multigrain pp 3*60g,3*60g,unibic,breakfast cereals | branded food,flavor:multigrain flavor:muesli,muesli
sunfeast ndl yippee magic masala 35g,35g,sunfeast,noodles pastas vermicelli | branded food,,"yippee,magic"
clinic plus naturally strong health shampoo 80 ml,80 ml,clinic plus+,health drinks | beverages,type:shampoo,"plus,naturally,strong,shampoo"
pantene shmp hair fall control 80ml,80ml,pantene,hair care | beauty personal care,,"fall,control"
lifebuoy mild care soap bar 125 g,125 g,lifebuoy,skin care | beauty personal care,type:soap,"mild,soap,bar"
center fresh stick 16g,16g,center fresh,chocolates cakes confectioneries | branded food,,tick
all out power slider machine+refill 45ml,45ml,all out,freshners repellents | home hygiene,,power
mothers rec chicken biryani mix 100g,100g,mothers recipe,masala spices | grocery,flavor:chicken flavor:biryani,"rec,chicken,mix"
gillette razor venus oceana 2p,2p,gillette,men toiletries | beauty personal care,,razor
dettol shav cream fresh 70g,70g,dettol,personal hygiene | beauty personal care,flavor:cream type:cream,"cream,fresh"
organic tattva coriander powder jr 100g,100g,organic tattva,organic spices | grocery,flavor:coriander,"coriander,powder"
organic tattva ragi pp 500g,500g,organic tattva,organic flours | grocery,flavor:ragi,
kw feast mango zap 65ml,65ml,three mango,pickles chutneys | branded food,,"feat,zap"
3m magic tape green dispencer,3m mag,3m,stationery | toys stationery,color:green,"tape,green"
bambino popular vermicelli 425g,425g,bambino,noodles pastas vermicelli | branded food,,popular
dukes masala nibbles salted biscuit jar 200g,200g,dukes,biscuits cookies crackers | branded food,,"nibble,jar"
lizol flr clnr lavender 2l,2l,lizol,home cleaning | home hygiene,color:lavender flavor:lavender,"flr,lavender"
twinings green tea lemon & honey box 10pcs,10pcs,twinings,tea coffee | beverages,type:honey flavor:lemon flavor:honey color:green,"green,lemon,honey,box"
imported twinings blueberry & apple 20pcs,20pcs,twinings,fun drink mix | beverages,flavor:blueberry flavor:apple,"imported,blueberry,apple"
3 roses ctc tea 100g,3 ros,tata tea,tea coffee | beverages,,ctc
ambipur air fresh lavender bouquet 275g,275g,ambi pur,freshners repellents | home hygiene,color:lavender flavor:lavender,"air,fresh,lavender,bouquet"
paper boat santra juice 1l,1l,paper boat,fruit juices drinks | beverages,flavor:juice,juice
venkys readymeal butter chi 250g,250g,venkys,chocolates cakes confectioneries | branded food,flavor:butter,"butter,chi"
pantene shmp daily mois repar pump 675ml,675ml,pantene,hair care | beauty personal care,,"daily,moi,pump"
vlcc fw anti tan skin lightening 50g,50g,vlcc,skin care | beauty personal care,color:tan,"anti,tan,lightening"
nissin ndl scoopies mad masala pp 70g,70g,nissin,noodles pastas vermicelli | branded food,,mad
kosh oats broken pp 500g,500g,kosh,breakfast cereals | branded food,flavor:oats,"oats,broken"
sunkist litchi juice 1.2l,1.2l,sunkist,fruit juices drinks | beverages,flavor:juice flavor:litchi,juice
crown plain tofu,,crown,chocolates cakes confectioneries | branded food,flavor:tofu,"plain,tofu"
foxs fruits crystal clear mint candy 180g,180g,clear,chocolates cakes confectioneries | branded food,flavor:candy flavor:fruits flavor:mint,"fruits,crystal,mint,candy"
dd hexa gulab agbt,,dabur gulabari,otc | beauty personal care,flavor:gulab,
glucon d drink original jar 1k,,glucond,fun drink mix | beverages,,"original,jar"
tata black salt refill pack pp 100g,100g,tata,salt sugar jaggery | grocery,color:black,"black,refill,pack"
tata tea gold 1kg,1kg,tata tea,tea coffee | beverages,,gold
garden bombay puri 160g,160g,garden,jams spreads honey | branded food,flavor:puri,"bombay,puri"
english oven fruity bread,,english oven,fun drink mix | beverages,flavor:bread flavor:fruity,"fruity,bread"
ritter sport milk chocolate with cornflakes 100g,100g,ritter sport,chocolates cakes confectioneries | branded food,flavor:milk flavor:chocolate type:chocolate,"milk,chocolate,cornflakes"
gh daily whole dal horse gram 500g,500g,golden harvest,organic flours | grocery,flavor:dal,"daily,whole,dal,horse,gram"
ramdev pow spice coriander 500g,500g,ramdev,masala spices | grocery,flavor:coriander,"pow,spice,coriander"
g bakers bread brown jumbo slice 400 g,400 g,g bakers,hair care | beauty personal care,flavor:bread color:brown,"bread,brown,jumbo,slice"
mazaana chocolate paan 80g,80g,chocolate,chocolates cakes confectioneries | branded food,,paan
park avenu deo cool blue 100g,100g,blue bird,deos perfumes | beauty personal care,,"park,deo,cool"
patanjali nutty delite biscuits 70g,70g,patanjali,biscuits cookies crackers | branded food,,nutty
patanjali kesh kanti milk protn bt 200ml,200ml,patanjali,hair care | beauty personal care,flavor:milk,"kesh,milk"
patanjali amla hair oil 100ml,100ml,patanjali,hair care | beauty personal care,flavor:amla,oil
patanjali bel murabba 1kg,1kg,patanjali,otc | beauty personal care,,bel
patanjali multani mitti body cleansr 75g,75g,patanjali,deos perfumes | beauty personal care,flavor:mitti,body
patanjali hand wash almond kesar 175ml,175ml,patanjali,personal hygiene | beauty personal care,flavor:kesar type:wash flavor:almond,"hand,wash,almond"
harvest gold bread 600g,600g,harvest gold,tea coffee | beverages,flavor:bread,bread
harvest gold bread bombay pao,,harvest gold,tea coffee | beverages,flavor:bread flavor:pao,"bread,bombay,pao"
j&j baby soap blossom 75g,75g,baby,baby care | baby care,type:soap,"soap,blossom"
kelloggs muesli extra fruit magic 250g,250g,kelloggs,breakfast cereals | branded food,flavor:fruit flavor:muesli,"muesli,extra,fruit,magic"
orbit watermelon sugarfree 8.8 gms,8.8 gm,sugar free,salt sugar jaggery | grocery,flavor:watermelon,"orbit,watermelon"
colgate plax mouthwash active salt 250ml,250ml,colgate,oral care | beauty personal care,type:mouthwash,"mouthwash,active,salt"
dove hair fall rescue shampoo 80 ml,80 ml,dove,hair care | beauty personal care,type:shampoo,"fall,rescue,shampoo"
badshah who spice kasuri methi bx 25g,25g,badshah,chips namkeens snacks | branded food,flavor:methi,spice
colgate tpste kinds bubble fruits bx 40g,40g,colgate,oral care | beauty personal care,flavor:fruits,"kinds,bubble,fruits"
sunfeast ndl yippe magic masala 2n1 140g,1 140g,sunfeast,biscuits cookies crackers | branded food,,magic
organic india tulsi chai masala tea bag 25g,25g,organic india,salt sugar jaggery | grocery,type:bag,"chai,masala,tea,bag"
ragu sauce garden mamas special 680.4g,680.4g,garden,sauces puree dips | branded food,flavor:ragu flavor:sauce,"ragu,sauce,mamas,special"
