cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 khush day to day bsmti rice pp ,5kg,tilda,frozen veg,branded food,rice, khush day to day bsmti pp ,"['day', 'day']"
 squash lemon 750m,,kissan,jams spreads honey,branded food,squash lemon, 750m,[]
 oth bby powder ,100g,himalaya,baby care,baby care,, oth bby powder ,"['oth', 'powder']"
 shampoo gentle daily 200m,,himalaya,baby care,baby care,, shampoo gentle daily 200m,"['shampoo', 'gentle', 'daily']"
mcvities festivities assorted bx p,700g g,,biscuits cookies crackers,branded food,,mcvities festivities assorted bx p,"['mcvities', 'festivities', 'assorted']"
 pow spice turmeric ,100g,ramdev,skin care,beauty personal care,turmeric, pow spice ,"['pow', 'spice']"
 fw tan rmoval orange ,100ml,himalaya,otc,beauty personal care,tan orange, fw rmoval ,[]
 gentle exfol walnut scrub ,100g,himalaya,baby care,baby care,walnut, gentle exfol scrub ,"['gentle', 'scrub']"
 jaggery ,220g,dhampure,baking dessert mixes,branded food,jaggery, ,[]
 peach shine lip m,4.5 g,himalaya,skin care,beauty personal care,peach, shine lip m,"['shine', 'lip']"
 absolute perfect radiance lihtenin niht creme ,50 g,lakme,skin care,beauty personal care,, absolute perfect radiance lihtenin niht creme ,"['absolute', 'perfect', 'radiance', 'niht', 'creme']"
" 9 to rimer + matte li color, lc r3 caramel cut, 3.6 g",5 p,lakme,skin care,beauty personal care,caramel matte," 9 to rimer + li color, lc r3 cut, 3.6 g",['3.6']
 readymix meat ,100g,mdh,masala spices,grocery,meat, readymix ,[]
 readymix chat ,100g,mdh,masala spices,grocery,, readymix chat ,['chat']
 wave fliptop ,18g,happydent,chocolates cakes confectioneries,branded food,, wave fliptop ,['wave']
 gum complt peppermint ,27.5g,happydent,chocolates cakes confectioneries,branded food,peppermint, gum complt ,['gum']
 bounce elaichi twist biscuit ,100g,sunfeast,biscuits cookies crackers,branded food,elaichi, bounce twist biscuit ,"['bounce', 'twist', 'biscuit']"
 noodle yippee clas masala ,70g,sunfeast,noodles pastas vermicelli,branded food,, noodle yippee clas masala ,"['noodle', 'yippee', 'masala']"
 gel styling vertical 100m,,set wet,hair care,beauty personal care,, gel styling vertical 100m,"['gel', 'styling', 'vertical']"
 tulsi lemon ginger green ,18pcs,organic india,tea coffee,beverages,green ginger lemon, tulsi ,[]
 sweet chilli flavour rice wafers ,100g,thins,chips namkeens snacks,branded food,chilli rice, sweet flavour wafers ,"['sweet', 'flavour', 'wafers']"
 face tiue ultra ,200 s,rolia,skin care,beauty personal care,, face tiue ultra ,"['face', 'ultra']"
 froz veg spring roll patti pp ,200g,frish,toys,toys stationery,veg, froz spring roll patti pp ,"['spring', 'roll', 'patti']"
 air freshener lavender hang bx ,50g,clmt,freshners repellents,home hygiene,lavender, air freshener hang bx ,"['air', 'freshener', 'hang']"
 napthalene balls ,100g,clmt,chocolates cakes confectioneries,branded food,, napthalene balls ,['balls']
 utensil bar ,200g,clmt,chocolates cakes confectioneries,branded food,, utensil bar ,"['utensil', 'bar']"
 scrubber grooved sponge ,3pcs,clmt,cleaning accessories,home hygiene,, scrubber grooved sponge ,"['scrubber', 'grooved', 'sponge']"
 scrb heavy duty green,,clmt,tea coffee,beverages,green, scrb heavy duty ,"['heavy', 'duty']"
 utensil srb 3 in 1 7.5*10cm,,clmt,toys,toys stationery,, utensil srb 3 in 1 7.5*10cm,"['utensil', 'srb']"
 pow spice hing brown bt ,50g,vandevi,chips namkeens snacks,branded food,brown, pow spice hing bt ,"['pow', 'spice']"
 act kd immuno boosters 4-6y cn ,30p,cipla,chips namkeens snacks,branded food,, act kd immuno boosters 4-6y cn ,"['act', 'boosters']"
 det liquid ,2*500ml,wipro safewash,otc,beauty personal care,, det liquid ,"['det', 'liquid']"
 ndl ecret chezwan ,60g,ching s secret,noodles pastas vermicelli,branded food,, ndl ecret chezwan ,[]
 dairy milk play pack ,104g,cadbury,chocolates cakes confectioneries,branded food,dairy milk, play pack ,"['play', 'pack']"
 farfalle wheat pasta ,500g,borges,noodles pastas vermicelli,branded food,pasta wheat farfalle, ,[]
 coffe drop candy ,175g,cavendish & harvey,chocolates cakes confectioneries,branded food,candy, coffe drop ,['drop']
 tetley bag ginger ,12pcs,tata tea,tea coffee,beverages,ginger bag, tetley ,['tetley']
 thandai ,200ml,paper boat,fruit juices drinks,beverages,, thandai ,[]
 mini cookie cake choco bx ,66g,pillsbury,chocolates cakes confectioneries,branded food,choco, mini cookie cake bx ,"['mini', 'cookie', 'cake']"
 cakemix rich chocolt bx ,285g,pillsbury,baking dessert mixes,branded food,, cakemix rich chocolt bx ,['rich']
 brownie choco chip pp ,80g,pillsbury,chocolates cakes confectioneries,branded food,choco, brownie chip pp ,"['brownie', 'chip']"
 papad assorted op,3*200g,bikano,ready to fry,branded food,papad, assorted op,['assorted']
 choco dm silk hazelnut pp ,58g,cadbury,chocolates cakes confectioneries,branded food,silk hazelnut choco, dm pp ,[]
 multigrain bhatura mix pp ,500g,desi atta company,dry fruits,grocery,multigrain bhatura, mix pp ,['mix']
 split end rescue shampoo ,80 ml,dove,hair care,beauty personal care,, split end rescue shampoo ,"['split', 'end', 'rescue', 'shampoo']"
 mix chicken bx ,50g,badshah,ready to eat,branded food,chicken, mix bx ,['mix']
 cumin seeds ,100g,mother earth,masala spices,grocery,seeds cumin, ,[]
 masoor dal ,500g,mother earth,chocolates cakes confectioneries,branded food,dal masoor, ,[]
munchys plain biscuit cream cracker ,300g,,biscuits cookies crackers,branded food,cream,munchys plain biscuit cracker ,"['plain', 'biscuit', 'cracker']"
pooof kettle cps spicy schezwan pp ,30g,pooof!,toys,toys stationery,spicy,pooof kettle cps schezwan pp ,"['kettle', 'cps']"
 soya milk mango ,1l,sofit,chocolates cakes confectioneries,branded food,milk soya mango, ,[]
 yellow bx ,250gg,marvel,tea coffee,beverages,yellow, bx ,[]
 deo whitewater man cn ,150ml,old spice,deos perfumes,beauty personal care,, deo whitewater man cn ,"['deo', 'whitewater', 'man']"
 soyamilk omp coffee mocha tp ,200ml,sofit,chocolates cakes confectioneries,branded food,mocha, soyamilk omp coffee tp ,['coffee']
 gems surprise ,17.8g,cadbury,chocolates cakes confectioneries,branded food,, gems surprise ,"['gems', 'surprise']"
layerr deo power play shot ,135ml,,deos perfumes,beauty personal care,,layerr deo power play shot ,"['deo', 'power', 'play', 'shot']"
 tmp bdy wsh energy rush bt ,300ml,swiss tempelle,chocolates cakes confectioneries,branded food,, tmp bdy wsh energy rush bt ,"['tmp', 'energy', 'rush']"
 pft rdnce fairn day cream ,50g,lakme,skin care,beauty personal care,cream, pft rdnce fairn day ,['day']
 tmp bw pr energy hwr gl 250m,2in1 s,swiss tempelle,toys,toys stationery,, tmp bw pr energy hwr gl 250m,"['tmp', 'energy']"
swiss tmp bw &fs oil swr gl bt 250m,,lotus,skin care,beauty personal care,,swiss tmp bw &fs oil swr gl bt 250m,"['swiss', 'tmp', 'oil']"
 jelly bites cubes ,80g,nilgiris,chocolates cakes confectioneries,branded food,jelly, bites cubes ,"['bites', 'cubes']"
 trawberry yrup ,623g,hershey s,otc,beauty personal care,, trawberry yrup ,[]
 face wipes seaweed & lavender ,10p,kara,skin care,beauty personal care,lavender seaweed, face wipes & ,"['face', 'wipes']"
 classic ,50g,nescafe,tea coffee,beverages,, classic ,['classic']
 tlt clnr power opthk orange 500m,,harpic,home cleaning,home hygiene,orange, tlt clnr power opthk 500m,['power']
 chatpata mix namkeen ,175g,kurkure,chips namkeens snacks,branded food,namkeen, chatpata mix ,['mix']
tops mix jam ,500g,fruit,jams spreads honey,branded food,,tops mix jam ,"['tops', 'mix', 'jam']"
 facial box 2ply born pure,100s,paseo,otc,beauty personal care,, facial box 2ply born pure,"['facial', 'box', 'born', 'pure']"
 elegant luncheon napkin ly,50s 2p,paseo,toys,toys stationery,napkin, elegant luncheon ly,"['elegant', 'luncheon']"
 ndl super chennai masala ,73g,maggi,noodles pastas vermicelli,branded food,, ndl super chennai masala ,"['super', 'masala']"
 meal pongal ,300g,mtr,ready to eat,branded food,pongal, meal ,['meal']
 dessertmix payasam kheer ,2*180g,mtr,ready to eat,branded food,payasam kheer, dessertmix ,[]
 muffins eggless,,garys,chocolates cakes confectioneries,branded food,muffins eggless, ,[]
garys barcake choco eggless,,cherry,chocolates cakes confectioneries,branded food,choco eggless,garys barcake ,[]
nestle alpino very milky ,90g,chocolate,chocolates cakes confectioneries,branded food,milky,nestle alpino very ,['nestle']
 mukhwas jhilmil supari ,70g,mera swad,toys,toys stationery,, mukhwas jhilmil supari ,[]
 pow kashmirilal chili bx ,100g,everest,masala spices,grocery,chili, pow kashmirilal bx ,['pow']
 sweet lassi bt ,200ml,mother dairy,pickles chutneys,branded food,lassi, sweet bt ,['sweet']
 fw saundrya tulsi&aloever ,60ml,patanjali,otc,beauty personal care,, fw saundrya tulsi&aloever ,[]
 gel soft hold ,100g,park avenue,hair care,beauty personal care,, gel soft hold ,"['gel', 'soft', 'hold']"
 twisty tasty b1 1+1 120g op,1g,patanjali,toys,toys stationery,tasty, twisty b1 1+1 120g op,['twisty']
 badam pak jr ,500g,patanjali,breakfast cereals,branded food,badam, pak jr ,['pak']
 noodle atta chatpataa pp ,60g,patanjali,chocolates cakes confectioneries,branded food,, noodle atta chatpataa pp ,"['noodle', 'atta']"
 ocasion exquisites p,800g g,parle,biscuits cookies crackers,branded food,, ocasion exquisites p,[]
 stld bisc sncky chl flk ,64g,sunfeast,biscuits cookies crackers,branded food,, stld bisc sncky chl flk ,[]
 drink orange bt ,750ml,mirinda,soft drinks,beverages,orange, drink bt ,['drink']
floor cloth,,comfort,home cleaning,home hygiene,cloth,floor ,['floor']
 cokies muesli multigrain pp ,3*60g,unibic,breakfast cereals,branded food,multigrain muesli, cokies pp ,[]
 ndl yippee magic masala ,35g,sunfeast,noodles pastas vermicelli,branded food,, ndl yippee magic masala ,"['yippee', 'magic', 'masala']"
 plus naturally strong shampoo ,80 ml,clinic plus+,health drinks,beverages,, plus naturally strong shampoo ,"['plus', 'naturally', 'strong', 'shampoo']"
 shmp fall control ,80ml,pantene,hair care,beauty personal care,, shmp fall control ,"['fall', 'control']"
 mild soap bar ,125 g,lifebuoy,skin care,beauty personal care,, mild soap bar ,"['mild', 'soap', 'bar']"
 stick ,16g,center fresh,chocolates cakes confectioneries,branded food,, stick ,['stick']
 power slider machine+refill ,45ml,all out,freshners repellents,home hygiene,, power slider machine+refill ,"['power', 'slider']"
mothers rec chicken biryani mix ,100g,,masala spices,grocery,biryani chicken,mothers rec mix ,"['mothers', 'rec', 'mix']"
 razor venus oceana ,2p,gillette,men toiletries,beauty personal care,, razor venus oceana ,"['razor', 'venus']"
 shav cream fresh ,70g,dettol,personal hygiene,beauty personal care,cream, shav fresh ,['fresh']
 coriander powder jr ,100g,organic tattva,organic spices,grocery,coriander, powder jr ,['powder']
 ragi pp ,500g,organic tattva,organic flours,grocery,ragi, pp ,[]
kw feast zap ,65ml,three mango,pickles chutneys,branded food,,kw feast zap ,"['feast', 'zap']"
 ic tape green dispencer,3m mag,3m,stationery,toys stationery,green, ic tape dispencer,['tape']
 popular ,425g,bambino,noodles pastas vermicelli,branded food,, popular ,['popular']
dukes masala nibbles salted biscuit jar ,200g,,biscuits cookies crackers,branded food,,dukes masala nibbles salted biscuit jar ,"['dukes', 'masala', 'nibbles', 'salted', 'biscuit', 'jar']"
 flr clnr lavender ,2l,lizol,home cleaning,home hygiene,lavender, flr clnr ,['flr']
 green lemon & honey box ,10pcs,twinings,tea coffee,beverages,green honey lemon, & box ,['box']
imported blueberry & apple ,20pcs,twinings,fun drink mix,beverages,apple blueberry,imported & ,['imported']
 es ctc 100g,3 ros,tata tea,tea coffee,beverages,, es ctc 100g,['ctc']
ambipur air lavender bouquet ,275g,soo fresh,freshners repellents,home hygiene,lavender,ambipur air bouquet ,"['air', 'bouquet']"
 santra juice ,1l,paper boat,fruit juices drinks,beverages,juice, santra ,[]
 readymeal butter chi ,250g,venkys,chocolates cakes confectioneries,branded food,butter, readymeal chi ,['chi']
 shmp daily mois repar pump ,675ml,pantene,hair care,beauty personal care,, shmp daily mois repar pump ,"['daily', 'pump']"
 fw anti tan lightening ,50g,vlcc,skin care,beauty personal care,tan, fw anti lightening ,"['anti', 'lightening']"
 ndl scoopies mad masala pp ,70g,nissin,noodles pastas vermicelli,branded food,, ndl scoopies mad masala pp ,"['mad', 'masala']"
 oats broken pp ,500g,kosh,breakfast cereals,branded food,oats, broken pp ,['broken']
 litchi juice ,1.2l,sunkist,fruit juices drinks,beverages,litchi juice, ,[]
 plain tofu,,crown,chocolates cakes confectioneries,branded food,tofu, plain ,['plain']
fox s fruits crystal mint candy ,180g,clear,chocolates cakes confectioneries,branded food,fruits mint candy,fox s crystal ,"['fox', 'crystal']"
dd hexa gulab agbt,,dabur gulabari,otc,beauty personal care,gulab,dd hexa agbt,[]
glucon d original jar 1k,,glucon-d,fun drink mix,beverages,,glucon d original jar 1k,"['original', 'jar']"
 black refill pack pp ,100g,tata,salt sugar jaggery,grocery,black, refill pack pp ,"['refill', 'pack']"
 gold ,1kg,tata tea,tea coffee,beverages,, gold ,['gold']
 bombay puri ,160g,garden,jams spreads honey,branded food,puri, bombay ,['bombay']
 fruity bread,,english oven,fun drink mix,beverages,bread fruity, ,[]
 milk chocolate with cornflakes ,100g,ritter sport,chocolates cakes confectioneries,branded food,chocolate milk, with cornflakes ,['cornflakes']
gh daily whole dal horse gram ,500g,,dry fruits,grocery,dal,gh daily whole horse gram ,"['daily', 'whole', 'horse', 'gram']"
 pow spice coriander ,500g,ramdev,masala spices,grocery,coriander, pow spice ,"['pow', 'spice']"
 bread - brown jumbo slice ,400 g,g bakers,skin care,beauty personal care,bread brown, - jumbo slice ,"['jumbo', 'slice']"
mazaana paan ,80g,chocolate,chocolates cakes confectioneries,branded food,,mazaana paan ,['paan']
park avenu deo cool ,100g,blue bird,deos perfumes,beauty personal care,,park avenu deo cool ,"['park', 'deo', 'cool']"
 nutty delite ,70g,patanjali,biscuits cookies crackers,branded food,, nutty delite ,['nutty']
 kesh kanti milk protn bt ,200ml,patanjali,hair care,beauty personal care,milk, kesh kanti protn bt ,['kesh']
 amla oil ,100ml,patanjali,hair care,beauty personal care,amla, oil ,['oil']
 bel murabba ,1kg,patanjali,otc,beauty personal care,, bel murabba ,['bel']
 multani mitti body cleansr ,75g,patanjali,deos perfumes,beauty personal care,mitti, multani body cleansr ,['body']
 hand wash almond kesar ,175ml,patanjali,personal hygiene,beauty personal care,almond kesar, hand wash ,"['hand', 'wash']"
 bread ,600g,harvest gold,tea coffee,beverages,bread, ,[]
 bread bombay pao,,harvest gold,tea coffee,beverages,bread pao, bombay ,['bombay']
j&j soap blossom ,75g,baby,baby care,baby care,,j&j soap blossom ,"['soap', 'blossom']"
kelloggs muesli extra magic ,250g,fruit,breakfast cereals,branded food,muesli,kelloggs extra magic ,"['kelloggs', 'extra', 'magic']"
 watermelon suarfree ms,8.8 g,orbit,chocolates cakes confectioneries,branded food,watermelon, suarfree ms,[]
 plax mouthwash active salt ,250ml,colgate,oral care,beauty personal care,, plax mouthwash active salt ,"['mouthwash', 'active', 'salt']"
 fall rescue shampoo ,80 ml,dove,hair care,beauty personal care,, fall rescue shampoo ,"['fall', 'rescue', 'shampoo']"
 who spice kasuri methi bx ,25g,badshah,chips namkeens snacks,branded food,methi, who spice kasuri bx ,['spice']
 tpste kinds bubble fruits bx ,40g,colgate,oral care,beauty personal care,fruits, tpste kinds bubble bx ,"['kinds', 'bubble']"
 ndl yippe magic masala 2n 40g,1 140g,sunfeast,biscuits cookies crackers,branded food,, ndl yippe magic masala 2n 40g,"['magic', 'masala']"
 tulsi chai masala tea bag ,25g,organic india,salt sugar jaggery,grocery,bag, tulsi chai masala tea ,"['chai', 'masala', 'tea']"
ragu sauce mamas special ,680.4g,garden,sauces puree dips,branded food,ragu sauce, mamas special ,"['mamas', 'special']"
 croc desertmix choc fudg cake ,475g,betty crocker,toys,toys stationery,, croc desertmix choc fudg cake ,"['croc', 'choc', 'cake']"
 snackmix vada mix ,200g,mtr,masala spices,grocery,vada, snackmix mix ,['mix']
 readymix kitchen king ,100g,goldiee,mineral water soda,beverages,, readymix kitchen king ,"['kitchen', 'king']"
 recharge midnight bodyspray ,150 ml,axe,deos perfumes,beauty personal care,, recharge midnight bodyspray ,"['recharge', 'midnight']"
 apollo deodorant ,150 ml,axe,deos perfumes,beauty personal care,, apollo deodorant ,"['apollo', 'deodorant']"
 wonder pants diapers small ,20 pcs,huggies,baby care,baby care,pants diapers, wonder small ,"['wonder', 'small']"
strong leaf ,1 kg,tata tea,tea coffee,beverages,leaf,strong ,['strong']
reg eggs ack,6 p,parle-g,biscuits cookies crackers,branded food,eggs,reg ack,"['reg', 'ack']"
 tbrush super guard soft 2+1,,sach,toys,toys stationery,, tbrush super guard soft 2+1,"['super', 'guard', 'soft']"
 oats milk mango flavor tetra pack ,180ml,quaker,breakfast cereals,branded food,oats flavor milk mango, tetra pack ,"['tetra', 'pack']"
 pow spice turmeric pp ,200g,badshah,otc,beauty personal care,turmeric, pow spice pp ,"['pow', 'spice']"
